datset_risks2 (1);;;;;
Професія;Ризик автоматизації (%);Рівень ризику;Порада;Джерело;Прогноз
Оператор кол-центру;77;Високий;"Мʼякі навички (Soft skills):

Емпатія та емоційний інтелект — для тих випадків, коли людині потрібне “живе” спілкування

Критичне мислення — аналіз ситуації, щоб вирішити проблеми, які не під силу ШІ

Гнучкість та адаптивність — готовність швидко вчитися нового



Технічні навички (Hard skills):

Робота з CRM-системами (наприклад, Salesforce, Zoho)

Основи data-аналітики — розуміння, як працюють звіти, візуалізації, Excel/Google Sheets

Базові знання про ШІ — як працюють чат-боти, що таке NLP

Навички роботи з AI-інструментами — наприклад, Notion AI, ChatGPT, Copilot, Speechify

Знання іноземних мов — велика перевага в міжнародних кол-центрах та в організації більш масштабних проектів";WEF 2025, McKinsey 2024;"1) Аналітик клієнтського досвіду (Customer Experience Analyst)
Аналізує великі обсяги даних з дзвінків, чатів та соцмереж, щоб покращити обслуговування.

2) Тренер ШІ-моделей (AI Trainer / Data Annotator)
Навчає штучний інтелект правильно розпізнавати емоції, інтонацію, реакції клієнтів, позначаючи приклади.

3) Оператор гібридної підтримки (Human-AI Support Specialist)
Працює разом з ШІ — контролює його відповіді, бере складні випадки, коли ШІ не справляється.

4) Розробник чат-ботів та голосових асистентів
Створює логіку взаємодії ботів із користувачами.

5) Фахівець із етичного використання ШІ у комунікаціях
Відповідає за прозорість, безпеку даних, недопущення дискримінації у відповіді ШІ."
Бухгалтер;84;Високий;"Мʼякі навички (Soft skills):

Аналітичне мислення — здатність бачити за цифрами загальну картину, бізнес-тренди та ризики

Критичне мислення — вміння перевіряти достовірність даних, помічати неточності й приймати зважені рішення

Комунікація — здатність пояснити складну фінансову інформацію доступною мовою для клієнтів або керівництва, сприймаючи емоційний підтекст 

Гнучкість та адаптивність — готовність опановувати нові цифрові інструменти та методи обліку



Технічні навички (Hard skills):

Володіння бухгалтерськими програмами — 1С, SAP, QuickBooks, Xero, M.E.Doc тощо

Навички роботи з AI-інструментами — автоматизовані звітні сервіси, фінансові асистенти, Copilot для Excel

Основи data-аналітики — робота з великими таблицями, зведеними даними, побудова дашбордів у Excel/Google Sheets/Power BI

Знання податкового та фінансового законодавства — постійне оновлення знань відповідно до змін у законодавстві

 Кібербезпека та захист фінансових даних — базове розуміння ризиків у цифровому середовищі";PwC, WEF;"1) Бухгалтер-аналітик — не просто фіксує цифри, а аналізує тренди, ризики, прогнози

2) Фахівець з автоматизації бухгалтерії — налаштовує й оптимізує цифрові процеси

3) Консультант зі звітності та податків — допомагає бізнесу адаптуватися до нових правил і технологій

4) Data-oriented бухгалтер — працює з великими даними, дашбордами, інтеграціями"
Програміст;20;Низький;"Штучний інтелект не витіснить програмістів, а стане інструментом, що допоможе швидше створювати, тестувати й підтримувати програмне забезпечення.
Але ви можете покращити ось такі навички, щоб залишатися конкурентними та працювати з новими технологіями:

М'які навички (Soft skills):
Креативність — здатність знаходити нестандартні рішення в розробці.
Критичне мислення — аналіз ефективності коду та оптимізація рішень.
Командна робота — ефективна взаємодія з колегами та замовниками.
Адаптивність — швидке освоєння нових технологій і фреймворків.

Технічні навички (Hard skills):
Володіння сучасними мовами програмування (Python, Java, C#, JavaScript тощо).
Розробка алгоритмів і структур даних.
Знання принципів роботи баз даних та хмарних технологій (AWS, Azure, Google Cloud).
Розуміння принципів кібербезпеки.
Навички роботи з AI-бібліотеками та інструментами (TensorFlow, PyTorch).";McKinsey 2025;"Очікується зростання попиту на програмістів у таких сферах:
1) Розробка і підтримка AI-систем та машинного навчання.
2) Створення програмного забезпечення для Інтернету речей (IoT).
3) Кібербезпека та захист даних.
4) Хмарні обчислення та DevOps.
5) Розробка додатків для доповненої та віртуальної реальності (AR/VR).
6) Автоматизація бізнес-процесів і роботизація.                                                        "
Оператор введення даних;94;Високий;"Мʼякі навички (Soft skills):

Увага до деталей — здатність помічати найменші помилки у великих обсягах інформації

Стійкість до монотонної роботи — витривалість і зосередженість при виконанні рутинних завдань

Гнучкість — готовність швидко адаптуватись до нових програм та форматів введення даних

Відповідальність — розуміння важливості точного та своєчасного внесення інформації



Технічні навички (Hard skills):

Швидкий набір тексту — високий рівень володіння клавіатурою без помилок

Робота з електронними таблицями — впевнене користування Excel або Google Sheets (формули, фільтри, валідація даних)

Володіння CRM/ERP-системами — знання платформ типу Salesforce, Zoho, SAP для роботи з даними клієнтів або продуктів

Знання баз даних — базове розуміння, як працюють структури баз даних (наприклад, у Microsoft Access або SQL)

Навички роботи з AI-інструментами — вміння перевіряти й обробляти дані за допомогою Copilot, ChatGPT, Data Wrangler";Frey & Osborne, WEF;"1) Оператор контролю якості даних — перевірка й корекція помилок, які допустив ШІ

2) Спеціаліст з управління даними (Data Steward) — відповідає за повноту, точність і цілісність інформації у системах

3) Аналітик даних початкового рівня (Junior Data Analyst) — обробляє й готує дані для аналізу

4) Інтегратор даних — налагоджує зв’язок між різними системами й базами для автоматичного обміну інформацією"
Графічний дизайнер;60;Середній;"Креативність + концептуальне мислення — створення унікальних ідей та візуальних історій, а не лише виконання технічного завдання.

Art Direction — вміння задавати стиль і напрямок для команд та проєктів.

AI-assisted Design — використання Midjourney, DALL·E, Adobe Firefly як інструментів, а не конкурентів.

UX/UI дизайн — перехід від простої графіки до повного проєктування взаємодії користувача з продуктом.

Brand Strategy — вміння формувати візуальну ідентичність, що відображає цінності бренду.

Motion Design / 3D — створення динамічного та інтерактивного контенту, з яким ШІ поки працює обмежено.";Adobe, WEF;"1) AI Design Curator — керує генеративними системами, обирає та доопрацьовує найкращі результати.

2) Human-AI Collaboration Artist — створює гібридні роботи у співпраці з ШІ.

3) Immersive Experience Designer — розробка VR/AR-середовищ та візуальних сценаріїв.

4) Ethical Visual Storyteller — створює контент з урахуванням етичних, культурних та соціальних аспектів.

5) AI Branding Specialist — формує бренди, що взаємодіють з клієнтами у цифрових та змішаних середовищах."
Фінансовий аналітик;42;Середній;"Інтерпретація результатів ШІ — пояснювати клієнтам та керівництву, чому система дала саме такий прогноз.

Галузева експертиза — глибоке розуміння конкретної індустрії (наприклад, енергетика, ІТ, фармацевтика).

ESG-аналітика — оцінка фінансових проєктів з точки зору сталого розвитку та соціального впливу.

Кросдисциплінарні навички — знання психології інвесторів, поведінкової економіки.

Data Visualization & Storytelling — уміння перетворювати «сухі» дані на зрозумілі історії та інтерактивні графіки.

Розробка фінансових сценаріїв — моделювання нестандартних ризиків, які алгоритми можуть ігнорувати.

AI literacy — вміння працювати з Python, SQL, Power BI, Bloomberg AI Tools.";McKinsey, OECD;"1) AI-Enhanced Investment Strategist — розробляє інвестиційні стратегії, використовуючи прогнози та моделі ШІ, але з урахуванням людського досвіду та ризик-менеджменту.

2) Ethical AI Finance Advisor — контролює, щоб алгоритми у фінансах працювали прозоро та без упереджень, консультує з етичних питань використання даних.

3) Data Storytelling Specialist — перетворює складні фінансові дані на зрозумілі історії та візуалізації для клієнтів і керівництва.

4) Sustainable Finance Analyst — аналізує інвестиції з точки зору екологічної, соціальної та корпоративної відповідальності (ESG).

5) Risk Scenario Designer — створює та моделює можливі економічні сценарії з урахуванням глобальних трендів і нестандартних ризиків."
HR-менеджер;35;Середній;"Емоційний інтелект — вміння відчувати та розуміти мотивацію, тривоги й очікування кандидатів та співробітників.

Стратегічний HR — формування корпоративної культури та довгострокових планів розвитку персоналу.

Change Management — управління змінами у компанії під час цифрової трансформації.

Employer Branding — створення привабливого іміджу роботодавця, який не може зробити алгоритм.

Конфлікт-менеджмент та коучинг — підтримка людей у складних ситуаціях.

AI in HR — використання аналітики та автоматизації для підбору, навчання й утримання персоналу.

DEI (Diversity, Equity, Inclusion) — впровадження принципів різноманіття та інклюзії у робочі процеси.";WEF 2025;"1) AI-Enhanced Talent Strategist — використовує ШІ для аналітики ринку праці та формування стратегій найму.

2) Human-AI Interaction Coach — навчає команди ефективно працювати у зв’язці з алгоритмами й роботизованими інструментами.

3) Ethical Recruitment Specialist — забезпечує прозорість і відсутність дискримінації у підборі персоналу з використанням ШІ.

4) Employee Experience Designer — створює інноваційний досвід для співробітників на всіх етапах їхнього життєвого циклу у компанії.

5) Hybrid Workforce Manager — управляє командами, що складаються з людей та автоматизованих систем."
Медсестра;18;Низький;"Штучний інтелект не витіснить медсестер, адже їхня робота тісно пов’язана з людським фактором — турботою, підтримкою та прийняттям рішень у нестандартних ситуаціях.
Але ви можете покращити такі навички, щоб бути затребуваними у нових ролях і сферах:

М'які навички (Soft skills):
Емоційний інтелект — вміння розуміти і підтримувати пацієнтів.
Комунікабельність — ефективна взаємодія з лікарями, пацієнтами та родичами.
Стресостійкість — робота в напружених ситуаціях з великим навантаженням.
Адаптивність — швидке освоєння нових медичних технологій і протоколів.

Технічні навички (Hard skills):
Володіння електронними медичними системами (EMR/EHR).
Навички роботи з медичним обладнанням та дистанційними моніторинговими системами.
Знання сучасних методів догляду за пацієнтами та профілактики інфекцій.
Розуміння основ телемедицини та дистанційного супроводу хворих.";WHO, WEF;"Очікується зростання попиту на медсестер у таких сферах:
1) Спеціалісти з телемедицини та дистанційного моніторингу пацієнтів.
2) Координатори догляду за хронічними хворими.
3) Фахівці з інтеграції AI-систем у медичну практику (підтримка діагностики, планування лікування).
4) Професіонали з медичної освіти та просвітництва населення.
"
Водій таксі;71;Високий;"Мʼякі навички (Soft skills):

Клієнтоорієнтованість — ввічливість, уважність, вміння створити комфортну атмосферу для пасажира

Комунікація — здатність спокійно й зрозуміло спілкуватися з людьми в різних ситуаціях

Стресостійкість — уміння зберігати спокій у заторах, при конфліктах чи у складних дорожніх умовах

Адаптивність — готовність працювати з новими додатками, сервісами та змінними маршрутами



Технічні навички (Hard skills):

Навички користування навігаційними системами — впевнене користування Google Maps, Waze, Here WeGo тощо

Робота з мобільними додатками таксі — Uber, Bolt, Uklon, Opti та інші

Знання базової технічної діагностики авто — розуміння, як слідкувати за станом машини

Вміння користуватись цифровими платіжними системами — прийом безконтактної оплати, QR-коди

Базове розуміння сервісів безпеки — Dashcam, GPS-трекери, SOS-сигнал";WEF, NYPost;"1) Професійний водій-партнер — співпраця з сервісами преміум-класу (бізнес-таксі, корпоративні перевезення)

2) Менеджер автопарку — організація роботи кількох авто або водіїв (актуально при франшизі Uber/Bolt)

3) Інструктор з безпечного водіння — навчання новачків або водіїв-початківців правилам безпечної їзди

4) Оператор автономного транспорту — у майбутньому: дистанційний контроль та підтримка автопілотованих машин

5) Кур’єр преміум-сегменту — доставка цінних вантажів або VIP-послуг з високим рівнем сервісу"
Касир;90;Високий;"М'які навички (Soft skills):

Комунікабельність — ефективне, доброзичливе спілкування з клієнтами.

Стресостійкість — здатність працювати під тиском без втрати якості обслуговування.

Уважність до деталей — точність при розрахунках, видачі решти, скануванні товарів.

Відповідальність — сумлінне ставлення до роботи з грошима та звітами.



Технічні навички (Hard skills):

Робота з POS-системами — впевнене використання касового програмного забезпечення.

Володіння Excel / Google Sheets — для створення і ведення щоденних звітів.

Знання основ фінансових операцій — розрахунки, повернення, знижки, інкасація.

Навички введення товарів — оновлення цін, назв і акцій у системі.

Знання CRM-систем — робота з клієнтськими картками та бонусними програмами.М'які навички (Soft skills):

Комунікабельність — ефективне, доброзичливе спілкування з клієнтами.

Стресостійкість — здатність працювати під тиском без втрати якості обслуговування.

Уважність до деталей — точність при розрахунках, видачі решти, скануванні товарів.

Відповідальність — сумлінне ставлення до роботи з грошима та звітами.



";Frey & Osborne, McKinsey;"1) Спеціаліст з самообслуговування клієнтів — консультує покупців щодо користування терміналами самообслуговування.

2) Оператор онлайн-замовлень — обробляє замовлення в інтернет-магазинах, працює з оплатою й логістикою.

3) Консультант у торговому залі з цифровими системами — допомагає клієнтам через мобільні додатки або планшети.

4) Адміністратор розрахункової зони — координує роботу POS-систем, контролює процес розрахунку.

5) Фахівець з клієнтського сервісу (Customer Service Representative) — працює з клієнтськими зверненнями, поверненнями, бонусами."
